,type,genotype,N,mean,sd,se,gene,log2Mean,lineGroup
222,Bmbr,tf2,3,8.900574755,9.796506381,5.656015596,Solyc01g010640,3.153898501,tf2.Solyc01g010640
223,Bmbr,wt,4,8.191266204,7.378793969,3.689396984,Solyc01g010640,3.034086481,wt.Solyc01g010640
224,Bother,tf2,4,16.30913927,6.246917086,3.123458543,Solyc01g010640,4.027608739,tf2.Solyc01g010640
225,Bother,wt,4,10.56379095,8.75447469,4.377237345,Solyc01g010640,3.401055752,wt.Solyc01g010640
226,Cmbr,tf2,4,17.0136275,12.04434833,6.022174163,Solyc01g010640,4.088618868,tf2.Solyc01g010640
227,Cmbr,wt,6,15.39295297,8.845355713,3.611101348,Solyc01g010640,3.944198118,wt.Solyc01g010640
228,Cother,tf2,4,12.76163402,7.10163241,3.550816205,Solyc01g010640,3.673741161,tf2.Solyc01g010640
229,Cother,wt,3,13.30700874,4.716344063,2.722982515,Solyc01g010640,3.734114402,wt.Solyc01g010640
230,Ambr,tf2,4,23.09369861,4.499802342,2.249901171,Solyc01g049890,4.529427344,tf2.Solyc01g049890
231,Ambr,wt,3,16.7059735,9.939849051,5.738774525,Solyc01g049890,4.062292149,wt.Solyc01g049890
232,Aother,tf2,4,11.6635578,7.231938128,3.615969064,Solyc01g049890,3.543936023,tf2.Solyc01g049890
233,Aother,wt,5,24.06424529,6.643336396,2.970990356,Solyc01g049890,4.588819273,wt.Solyc01g049890
234,Bmbr,tf2,3,22.69629585,6.179450887,3.567707633,Solyc01g049890,4.504384957,tf2.Solyc01g049890
235,Bmbr,wt,4,17.76057748,9.031729694,4.515864847,Solyc01g049890,4.150606586,wt.Solyc01g049890
236,Bother,tf2,4,29.65185393,6.009608329,3.004804165,Solyc01g049890,4.890050404,tf2.Solyc01g049890
237,Bother,wt,4,27.08607282,11.34133537,5.670667685,Solyc01g049890,4.759479329,wt.Solyc01g049890
238,Cmbr,tf2,4,39.12140079,23.64445681,11.8222284,Solyc01g049890,5.289886123,tf2.Solyc01g049890
239,Cmbr,wt,6,24.30738513,12.58410107,5.13743775,Solyc01g049890,4.603322798,wt.Solyc01g049890
240,Cother,tf2,4,36.7290062,20.95384841,10.4769242,Solyc01g049890,5.198847956,tf2.Solyc01g049890
241,Cother,wt,3,23.45346756,6.493041049,3.748758997,Solyc01g049890,4.551729334,wt.Solyc01g049890
